,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Total Regencies,Total Districts,Population,Total Cases per Million,Total Deaths per Million,Growth Factor of New Cases,Growth Factor of New Deaths
0,1/1/2022,Aceh,0,0,0,0,38430,2066,36362,2,Province,0,Indonesia,Asia,18,289,5247257,7323.83,393.73,0.0,1.0
1,1/1/2022,Bali,3,0,0,3,114392,4061,110273,58,Province,1,Indonesia,Asia,8,57,4216171,27131.73,963.2,1.0,0.0
2,1/1/2022,Banten,8,0,5,3,132834,2694,130133,7,Province,2,Indonesia,Asia,4,155,10722374,12388.49,251.25,2.0,1.0
3,1/1/2022,Bengkulu,0,0,0,0,23105,473,22631,1,Province,3,Indonesia,Asia,9,129,1999539,11555.16,236.55,1.0,1.0
4,1/1/2022,DKI Jakarta,118,0,46,72,865415,13609,851282,524,Province,4,Indonesia,Asia,1,44,10846145,79790.1,1254.73,1.36,0.0
5,1/1/2022,Daerah Istimewa Yogyakarta,7,0,7,0,157004,5269,151631,104,Province,5,Indonesia,Asia,4,78,3631015,43239.7,1451.11,1.17,1.0
6,1/1/2022,Gorontalo,0,0,1,-1,11849,461,11388,0,Province,6,Indonesia,Asia,5,77,1180651,10035.99,390.46,0.0,1.0
7,1/1/2022,Indonesia,274,2,165,107,4262994,144096,4114499,4399,Country,34,Indonesia,Asia,416,7230,265185520,16075.52,543.38,1.52,0.33
8,1/1/2022,Jambi,0,0,0,0,29792,783,28997,12,Province,7,Indonesia,Asia,9,141,3493357,8528.19,224.14,0.0,1.0
9,1/1/2022,Jawa Barat,18,0,11,7,708868,14756,693639,473,Province,8,Indonesia,Asia,18,627,45161325,15696.35,326.74,1.0,1.0
10,1/1/2022,Jawa Tengah,6,0,8,-2,486921,30383,455803,735,Province,9,Indonesia,Asia,29,576,36364072,13390.17,835.52,0.67,1.0
11,1/1/2022,Jawa Timur,15,1,12,2,400080,29746,370371,-37,Province,10,Indonesia,Asia,29,666,40479023,9883.64,734.85,0.83,0.25
12,1/1/2022,Kalimantan Barat,3,0,2,1,41674,1063,40602,9,Province,11,Indonesia,Asia,12,174,5422814,7684.94,196.02,3.0,1.0
13,1/1/2022,Kalimantan Selatan,3,0,0,3,69957,2391,67553,13,Province,12,Indonesia,Asia,11,153,4023049,17389.05,594.33,1.0,1.0
14,1/1/2022,Kalimantan Tengah,1,0,0,1,45661,1433,44196,32,Province,13,Indonesia,Asia,13,136,2570289,17764.93,557.52,1.0,1.0
15,1/1/2022,Kalimantan Timur,2,0,0,2,158334,5452,152860,22,Province,14,Indonesia,Asia,7,103,3552191,44573.62,1534.83,1.0,1.0
16,1/1/2022,Kalimantan Utara,6,0,0,6,35946,811,35111,24,Province,15,Indonesia,Asia,4,53,648407,55437.4,1250.76,1.0,1.0
17,1/1/2022,Kepulauan Bangka Belitung,1,0,2,-1,52360,1462,50883,15,Province,16,Indonesia,Asia,6,47,1379767,37948.44,1059.6,1.0,1.0
18,1/1/2022,Kepulauan Riau,52,0,0,52,54264,1748,52132,384,Province,17,Indonesia,Asia,5,75,1929400,28124.81,905.98,17.33,1.0
19,1/1/2022,Lampung,1,0,5,-4,49751,3871,45345,535,Province,18,Indonesia,Asia,13,228,9095591,5469.79,425.59,1.0,1.0
20,1/1/2022,Maluku,0,0,1,-1,14596,265,14326,5,Province,19,Indonesia,Asia,9,118,1847097,7902.13,143.47,1.0,1.0
21,1/1/2022,Maluku Utara,0,0,0,0,12105,303,11802,0,Province,20,Indonesia,Asia,8,116,1307803,9255.98,231.69,1.0,1.0
22,1/1/2022,Nusa Tenggara Barat,2,0,1,1,27809,818,26921,70,Province,21,Indonesia,Asia,8,117,5270247,5276.6,155.21,2.0,1.0
23,1/1/2022,Nusa Tenggara Timur,1,0,4,-3,64254,1347,62848,59,Province,22,Indonesia,Asia,21,309,5411321,11874.0,248.92,0.25,1.0
24,1/1/2022,Papua,0,0,1,-1,34374,560,33707,107,Province,23,Indonesia,Asia,28,560,4340348,7919.64,129.02,1.0,1.0
25,1/1/2022,Papua Barat,13,0,17,-4,23673,357,23211,105,Province,24,Indonesia,Asia,12,218,1140701,20753.03,312.97,6.5,1.0
26,1/1/2022,Riau,1,0,9,-8,128935,4117,124480,338,Province,25,Indonesia,Asia,10,169,6074100,21227.01,677.8,0.2,1.0
