Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
1/1/2022,ID-AC,Aceh,0,0,0,0,38430,2066,36362,2,Province,,Aceh,Indonesia,Asia,Sumatera,UTC+07:00,Daerah Khusus,18,5,289,,6497,57956,5247257,90.54,96.91052174,4.225614628,0,7323.83,0,393.73,39.37,5.38%,94.62%,0,1
1/1/2022,ID-BA,Bali,3,0,0,3,114392,4061,110273,58,Province,,Bali,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,1,57,80,636,5780,4216171,729.43,115.1317136,-8.369471688,0.71,27131.73,0,963.2,96.32,3.55%,96.40%,1,0
1/1/2022,ID-BT,Banten,8,0,5,3,132834,2694,130133,7,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.75,12388.49,0,251.25,25.13,2.03%,97.97%,2,1
1/1/2022,ID-BE,Bengkulu,0,0,0,0,23105,473,22631,1,Province,,Bengkulu,Indonesia,Asia,Sumatera,UTC+07:00,,9,1,129,172,1341,19919,1999539,100.38,102.3384213,-3.533583627,0,11555.16,0,236.55,23.66,2.05%,97.95%,1,1
1/1/2022,ID-JK,DKI Jakarta,118,0,46,72,865415,13609,851282,524,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,10.88,79790.1,0,1254.73,125.47,1.57%,98.37%,1.36,0
1/1/2022,ID-YO,Daerah Istimewa Yogyakarta,7,0,7,0,157004,5269,151631,104,Province,,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1,78,46,392,3133,3631015,1158.9,110.4448783,-7.89450185,1.93,43239.7,0,1451.11,145.11,3.36%,96.58%,1.17,1
1/1/2022,ID-GO,Gorontalo,0,0,1,-1,11849,461,11388,0,Province,,Gorontalo,Indonesia,Asia,Sulawesi,UTC+08:00,,5,1,77,72,657,11257,1180651,104.88,122.3760581,0.687002604,0,10035.99,0,390.46,39.05,3.89%,96.11%,0,1
1/1/2022,IDN,Indonesia,274,2,165,107,4262994,144096,4114499,4399,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,1.03,16075.52,0.01,543.38,54.34,3.38%,96.52%,1.52,0.33
1/1/2022,ID-JA,Jambi,0,0,0,0,29792,783,28997,12,Province,,Jambi,Indonesia,Asia,Sumatera,UTC+07:00,,9,2,141,163,1399,50058,3493357,69.79,102.7236404,-1.69769766,0,8528.19,0,224.14,22.41,2.63%,97.33%,0,1
1/1/2022,ID-JB,Jawa Barat,18,0,11,7,708868,14756,693639,473,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.4,15696.35,0,326.74,32.67,2.08%,97.85%,1,1
